link_id,source_book,source_passage,theme_tag,target_book,target_passage,link_type,rationale
gen-xlink-0021,Genesis,Gen 14:18–20,covenant,Hebrews,Heb 7:1–3,pattern,"Priest-king motif becomes a later theological pattern lane"
gen-xlink-0022,Genesis,Gen 15:6,faith_righteousness,Romans,Rom 4:1–5,doctrine,"Abraham’s faith is used to explain righteousness by faith"
gen-xlink-0023,Genesis,Gen 15,abrahamic_covenant,Hebrews,Heb 6:13–18,doctrine,"God’s oath to Abraham supports assurance themes"
gen-xlink-0024,Genesis,Gen 17,covenant,Colossians,Col 2:11–12,pattern,"Covenant sign logic is connected to identity markers in faith communities"
gen-xlink-0025,Genesis,Gen 18:19,nations_mission,James,Jas 2:23,echo,"Friend-of-God motif connects to faith and obedience"
gen-xlink-0026,Genesis,Gen 19,judgment_mercy,Jude,Jude 7,echo,"Judgment narratives are used as warnings against corruption"
gen-xlink-0027,Genesis,Gen 20–21,covenant,Romans,Rom 9:6–9,doctrine,"Promise line logic is used to explain covenant continuity"
gen-xlink-0028,Genesis,Gen 22,sacrifice_substitution,Hebrews,Heb 11:17–19,doctrine,"Testing and faith under cost become an endurance model"
gen-xlink-0029,Genesis,Gen 22,sacrifice_substitution,James,Jas 2:21–23,doctrine,"Faith and works are illustrated through Abraham’s obedience"
gen-xlink-0030,Genesis,Gen 22:13,sacrifice_substitution,John,John 1:29,pattern,"Provision/substitution pattern supports later redemptive framing"
gen-xlink-0031,Genesis,Gen 24,covenant,Ephesians,Eph 5:25–32,echo,"Covenant marriage motifs echo broader covenant faithfulness themes"
gen-xlink-0032,Genesis,Gen 25:23,covenant,Romans,Rom 9:10–13,doctrine,"Election and promise line dynamics are discussed doctrinally"
gen-xlink-0033,Genesis,Gen 27–28,covenant,John,John 1:51,pattern,"Ladder/connection-to-heaven imagery becomes a pattern lane"
gen-xlink-0034,Genesis,Gen 28:12,creation,Revelation,Rev 21:3,echo,"God-with-people presence theme moves toward final dwelling"
gen-xlink-0035,Genesis,Gen 32:24–30,testing,Hosea,Hos 12:3–4,echo,"Wrestling narrative is referenced as formation and striving with God"
gen-xlink-0036,Genesis,Gen 33,covenant,Matthew,Matt 5:23–24,echo,"Reconciliation priority aligns with covenant community practice"
gen-xlink-0037,Genesis,Gen 37,joseph_pattern,Acts,Acts 7:9–10,narrative,"Joseph’s rejection and God’s favor are retold as providence"
gen-xlink-0038,Genesis,Gen 39:2–6,providence,1 Peter,1 Pet 2:19–23,echo,"Suffering with integrity becomes a modeled endurance lane"
gen-xlink-0039,Genesis,Gen 41:38–41,providence,Romans,Rom 13:1,echo,"Authority and governance themes connect to God’s ordering of outcomes"
gen-xlink-0040,Genesis,Gen 42–45,providence,2 Corinthians,2 Cor 1:3–4,echo,"Comfort and restoration after hardship reflects redemptive community logic"
gen-xlink-0041,Genesis,Gen 45:5–8,providence,Romans,Rom 8:28,echo,"Providence logic aligns with God working through hardship toward good"
gen-xlink-0042,Genesis,Gen 46–47,covenant,Exodus,Exo 1:7–14,narrative,"Genesis ending sets the stage for Israel’s growth and oppression in Exodus"
gen-xlink-0043,Genesis,Gen 49:8–12,seed_promise,Revelation,Rev 5:5,fulfillment,"Judah kingship horizon connects to later lion/kingship framing"
gen-xlink-0044,Genesis,Gen 49:10,seed_promise,Matthew,Matt 1:1–3,echo,"Genealogy framing highlights promise line continuity"
gen-xlink-0045,Genesis,Gen 50:20,providence,Acts,Acts 2:23,narrative,"God’s purposes advancing through human wrongdoing is echoed as a pattern"
gen-xlink-0046,Genesis,Gen 50:20,providence,1 Peter,1 Pet 1:6–7,echo,"Trials refining faith aligns with providence and formation"
gen-xlink-0047,Genesis,Gen 1:28,blessing,Isaiah,Isa 65:17–25,echo,"Creation blessing motifs align with restoration imagery"
gen-xlink-0048,Genesis,Gen 3,fall,1 Corinthians,1 Cor 15:21–22,doctrine,"Death and life framing becomes a doctrinal lane"
gen-xlink-0049,Genesis,Gen 12:3,nations_mission,Romans,Rom 15:8–12,doctrine,"Promise-to-nations theme is traced into praise among the nations"
gen-xlink-0050,Genesis,Gen 17:7,covenant,Hebrews,Heb 8:10,pattern,"Covenant identity language becomes a pattern lane for God’s people"
